Item,Description,Category,Fqty,Shortage,SupplierID
8420602,SMD magnetic core inductor 10UH ?20% 0.66A(0.71A) 580mO VLS252010CX,317.General Electronic Materials-02.inductor,1025,0,O28
8420611,chip power inductor 2.2uH ?20% 3.0A(2.3A) 97mO HMOQ25201T,317.General Electronic Materials-02.inductor,16260,0,O28
8351064,Chip capacitor 50V 0.5P ?0.1P NP0 0201,317.General Electronic Materials-06.CAPACITOR,3780,0,O28
8420642,chip power inductor 1UH ?20% 3.6A(3.1A) 60mO MEKK201610T,317.General Electronic Materials-02.inductor,42788,0,O28
9050554,Surface Acoustic Wave Filter SFH942CA402,316.rf devices-04.filter,17693,0,O32
8351146,Chip capacitor 50V 105 ?10% X5R 0603 WT,317.General Electronic Materials-06.CAPACITOR,8958,0,O19
9110235,Nest plate for IC MT6357CRV/A VFBGA,313.platform solution 01. Chip IC,1526,0,J2
8241547,Chip resistor 1/20W 3.3K ?5% 0201 HQ,317.General Electronic Materials-07.RSistor,18975,0,O19
8351275,Chip capacitor 6.3V 22uF ?20% X5R 0603 HQ,317.General Electronic Materials-06.CAPACITOR,45620,0,O19
9050668,Surface Acoustic Wave Filter SFH881CA402,316.rf devices-04.filter,47951,0,O32
9170658,Ordinary IC QDM-3301-0- LGA55D-TR-02-0,317.General Electronic Materials-01.General IC,8905,0,O21
8050216,Patch flash Top  2016 white 300lm LP,317.General Electronic Materials-N/A,1625,0,J10
9000210,Antenna switch CXA4477AUR QFN-16,316.RF Device-02.antenna Switch,9366,0,J9
9050716,Surface Acoustic Wave Filter SFHG52AA002 Huaqin,316.rf devices-04.filter,9686,0,O19
9070200,Combiner RFDIP160806BLM5T62 Huaqin,316.RF DeviceS-N/A,6100,0,O19
8080318,SMD field effect transistor PMPB13XNE 2*2*0.65mm MOSFET;N-Ch;16mO;11.3A;3.5W; Wentai,317. General Electronic Materials-05. Diode,1494,0,O19
8351505,Chip capacitor 10V 226 M X5R 0603 T=1.0 denoise,317.General Electronic Materials-06.CAPACITOR,3000,0,O28
8410826,???? 100nH +/-5% 100mA 0402 Wentai,317.General Electronic Materials-02.inductor,18020,0,O19
